Pfam ID	number of PDBx structures	Family description
PF02624	10	YcaO cyclodehydratase, ATP-ad Mg2+-binding
PF02586	10	SOS response associated peptidase (SRAP)
PF02579	10	Dinitrogenase iron-molybdenum cofactor
PF02578	10	Multi-copper polyphenol oxidoreductase laccase
PF02163	10	Peptidase family M50
PF01922	10	SRP19 protein
PF01793	10	Glycolipid 2-alpha-mannosyltransferase
PF01750	10	Hydrogenase maturation protease
PF01734	10	Patatin-like phospholipase
PF01608	10	I/LWEQ domain
PF01544	10	CorA-like Mg2+ transporter protein
PF01521	10	Iron-sulphur cluster biosynthesis
PF01269	10	Fibrillarin
PF01087	10	Galactose-1-phosphate uridyl transferase, N-terminal domain
PF01028	10	Eukaryotic DNA topoisomerase I, catalytic core
PF00965	10	Tissue inhibitor of metalloproteinase
PF00886	10	Ribosomal protein S16
PF00815	10	Histidinol dehydrogenase
PF00618	10	RasGEF N-terminal motif
PF00410	10	Ribosomal protein S8
PF00391	10	PEP-utilising enzyme, mobile domain
PF00299	10	Squash family serine protease inhibitor
PF00143	10	Interferon alpha/beta domain
PF17130	9	beta-barrel domain of carboxypeptidase M99
PF17129	9	C-terminal domain of metallo-carboxypeptidase
PF17125	9	N-terminal domain of 16S rRNA methyltransferase RsmF
PF17042	9	Putative nucleotide-binding of sugar-metabolising enzyme
PF17033	9	Carboxypeptidase controlling helical cell shape catalytic
PF16848	9	Substrate of the Dot/Icm secretion system, putative
PF16812	9	C-terminal head domain of the fowl adenovirus type 1 long fibre
PF16715	9	Cyclodipeptide synthase
PF16575	9	mRNA cleavage and polyadenylation factor CLP1 P-loop
PF16573	9	N-terminal beta-sandwich domain of polyadenylation factor
PF16350	9	FAD dependent oxidoreductase central domain
PF16295	9	Tetracycline repressor, C-terminal all-alpha domain
PF16189	9	Creatinase/Prolidase N-terminal domain
PF16188	9	C-terminal region of peptidase_M24
PF16123	9	Hydroxyacylglutathione hydrolase C-terminus
PF14873	9	N-terminal domain of BNR-repeat neuraminidase
PF14843	9	Growth factor receptor domain IV
PF14721	9	Apoptosis-inducing factor, mitochondrion-associated, C-term
PF14622	9	Ribonuclease-III-like
PF14582	9	Metallophosphoesterase, calcineurin superfamily
PF14498	9	Glycosyl hydrolase family 65, N-terminal domain
PF13740	9	ACT domain
PF13690	9	Chemotaxis phosphatase CheX
PF13483	9	Beta-lactamase superfamily domain
PF13435	9	Cytochrome c554 and c-prime
PF13406	9	Transglycosylase SLT domain
PF13149	9	Fimbrillin-like
PF12974	9	ABC transporter, phosphonate, periplasmic substrate-binding protein 
PF12919	9	TcdA/TcdB catalytic glycosyltransferase domain
PF12918	9	TcdB toxin N-terminal helical domain
PF12103	9	Surface lipoprotein of Spirochaetales order
PF12052	9	Voltage gated calcium channel subunit beta domain 4Aa N terminal
PF11852	9	Domain of unknown function (DUF3372)
PF11754	9	Velvet factor
PF11495	9	Archaeal transcriptional regulator TrmB
PF11393	9	Type-IV b secretion system, inner-membrane complex component
PF10421	9	2'-5'-oligoadenylate synthetase 1, domain 2, C-terminus 
PF10090	9	Histidine phosphotransferase C-terminal domain
PF09704	9	CRISPR-associated protein (Cas_Cas5)
PF09374	9	Predicted Peptidoglycan domain
PF09341	9	Transcription factor Pcc1
PF09290	9	Prokaryotic acetaldehyde dehydrogenase, dimerisation
PF09223	9	ZinT (YodA) periplasmic lipocalin-like zinc-recruitment
PF08644	9	FACT complex subunit (SPT16/CDC68)
PF08324	9	PUL domain
PF08237	9	PE-PPE domain
PF08032	9	RNA 2'-O ribose methyltransferase substrate binding
PF07973	9	Threonyl and Alanyl tRNA synthetase second additional domain
PF07858	9	Limonene-1,2-epoxide hydrolase catalytic domain
PF07840	9	FadR C-terminal domain
PF07836	9	DmpG-like communication domain
PF07447	9	Matrix protein VP40
PF07249	9	Cerato-platanin
PF07201	9	HrpJ-like domain
PF07005	9	Putative sugar-binding N-terminal domain
PF06863	9	Protein of unknown function (DUF1254)
PF06807	9	Pre-mRNA cleavage complex II protein Clp1
PF06742	9	Protein of unknown function (DUF1214)
PF06585	9	Haemolymph juvenile hormone binding protein (JHBP)
PF06371	9	Diaphanous GTPase-binding Domain
PF05954	9	Phage late control gene D protein (GPD)
PF05889	9	O-phosphoseryl-tRNA(Sec) selenium transferase, SepSecS
PF05870	9	Phenolic acid decarboxylase (PAD)
PF05838	9	Glycosyl hydrolase 108
PF05791	9	Bacillus haemolytic enterotoxin (HBL)
PF05746	9	DALR anticodon binding domain
PF05726	9	Pirin C-terminal cupin domain
PF05543	9	Staphopain peptidase C47
PF05096	9	Glutamine cyclotransferase
PF04945	9	YHS domain
PF04587	9	ADP-specific Phosphofructokinase/Glucokinase conserved region
PF04378	9	Ribosomal RNA large subunit methyltransferase D, RlmJ
PF03943	9	TAP C-terminal domain
PF03796	9	DnaB-like helicase C terminal domain
PF03795	9	YCII-related domain
PF03719	9	Ribosomal protein S5, C-terminal domain
PF03623	9	Focal adhesion targeting region
PF03621	9	MbtH-like protein
PF03492	9	SAM dependent carboxyl methyltransferase
PF03439	9	Early transcription elongation factor of RNA pol II, NGN section
PF03347	9	Vibrio thermostable direct hemolysin
PF03114	9	BAR domain
PF03011	9	PFEMP DBL domain
PF02942	9	Influenza B non-structural protein (NS1)
PF02893	9	GRAM domain
PF02792	9	Mago nashi protein
PF02734	9	DAK2 domain
PF02682	9	Carboxyltransferase domain, subdomain C and D
PF02676	9	Methyltransferase TYW3
PF02614	9	Glucuronate isomerase
PF02575	9	YbaB/EbfC DNA-binding family
PF02561	9	Flagellar protein FliS
PF02501	9	Type II secretion system (T2SS), protein I
PF02391	9	MoaE protein
PF02388	9	FemAB family
PF02265	9	S1/P1 Nuclease
PF02204	9	Vacuolar sorting protein 9 (VPS9) domain
PF02005	9	N2,N2-dimethylguanosine tRNA methyltransferase
PF01835	9	MG2 domain
PF01722	9	BolA-like protein
PF01695	9	IstB-like ATP binding protein
PF01664	9	Reovirus viral attachment protein sigma 1
PF01650	9	Peptidase C13 family
PF01649	9	Ribosomal protein S20
PF01374	9	Glycosyl hydrolase family 46
PF01358	9	Poly A polymerase regulatory subunit
PF01289	9	Thiol-activated cytolysin
PF01119	9	DNA mismatch repair protein, C-terminal domain
PF01105	9	emp24/gp25L/p24 family/GOLD
PF01084	9	Ribosomal protein S18
PF01068	9	ATP dependent DNA ligase domain
PF01065	9	Hexon, adenovirus major coat protein, N-terminal domain
PF00973	9	Paramyxovirus nucleocapsid protein
PF00800	9	Prephenate dehydratase
PF00519	9	Papillomavirus helicase
PF00505	9	HMG (high mobility group) box
PF00416	9	Ribosomal protein S13/S18
PF00380	9	Ribosomal protein S9/S16
PF00366	9	Ribosomal protein S17
PF00333	9	Ribosomal protein S5, N-terminal domain
PF00253	9	Ribosomal protein S14p/S29e
PF00189	9	Ribosomal protein S3, C-terminal domain
PF00172	9	Fungal Zn(2)-Cys(6) binuclear cluster domain
PF00164	9	Ribosomal protein S12/S23
PF00163	9	Ribosomal protein S4/S9 N-terminal domain
PF17483	8	C-lobe handle domain of Tf-binding protein B
PF17289	8	Terminase RNaseH-like domain
PF17136	8	Ribosomal proteins 50S L24/mitochondrial 39S L24
PF16963	8	PelD GGDEF domain
PF16886	8	ATPsynthase alpha/beta subunit N-term extension
PF16845	8	Aspartic acid proteinase inhibitor
PF16706	8	Izumo-like Immunoglobulin domain
PF16658	8	Class II release factor RF3, C-terminal domain
PF16639	8	Apocytochrome F, N-terminal
PF16369	8	C-terminal of Glycosyl hydrolases family 43
PF16255	8	GDSL-like Lipase/Acylhydrolase
PF16220	8	Domain of unknown function (DUF4880)
PF16217	8	Peptidase M64 N-terminus
PF16103	8	Domain of unknown function (DUF4822)
PF16010	8	Cytochrome domain of cellobiose dehydrogenase
PF15886	8	Carbohydrate binding domain (family 32)
PF15005	8	Izumo sperm-egg fusion, Ig domain-associated
PF14693	8	Ribosomal protein TL5, C-terminal domain
PF14531	8	Kinase-like
PF14437	8	MafB19-like deaminase
PF13932	8	GidA associated domain
PF13930	8	DNA/RNA non-specific endonuclease
PF13718	8	GNAT acetyltransferase 2
PF13702	8	Lysozyme-like
PF13656	8	RNA polymerase Rpb3/Rpb11 dimerisation domain
PF13616	8	PPIC-type PPIASE domain
PF13487	8	HD domain
PF13379	8	NMT1-like family
PF13305	8	WHG domain
PF13298	8	DNA polymerase Ligase (LigD)
PF13177	8	DNA polymerase III, delta subunit
PF13087	8	AAA domain
PF12695	8	Alpha/beta hydrolase family
PF12643	8	MazG-like family
PF12199	8	Extracellular fibrinogen binding protein C terminal
PF11999	8	Protein of unknown function (DUF3494)
PF11626	8	TRF2-interacting telomeric protein/Rap1 - C terminal domain
PF10243	8	Microtubule-binding protein MIP-T3
PF10015	8	Uncharacterized protein conserved in archaea (DUF2258)
PF09481	8	CRISPR-associated protein Cse1 (CRISPR_cse1)
PF09471	8	IgA Peptidase M64
PF09383	8	NIL domain
PF09279	8	Phosphoinositide-specific phospholipase C, efhand-like
PF09260	8	Domain of unknown function (DUF1966)
PF09240	8	Interleukin-6 receptor alpha chain, binding
PF09212	8	Carbohydrate binding module 27
PF09195	8	Restriction endonuclease BglII
PF09138	8	Urm1 (Ubiquitin related modifier)
PF09107	8	Elongation factor SelB, winged helix 
PF09028	8	Mac 1
PF09023	8	Staphostatin B
PF09011	8	HMG-box domain
PF08996	8	DNA Polymerase alpha zinc finger
PF08925	8	Domain of Unknown Function (DUF1907)
PF08751	8	TrwC relaxase
PF08617	8	Kinase binding protein CGI-121
PF08533	8	Beta-galactosidase C-terminal domain
PF08532	8	Beta-galactosidase trimerisation domain
PF08418	8	DNA polymerase alpha subunit B N-terminal
PF08311	8	Mad3/BUB1 homology region 1
PF08266	8	Cadherin-like
PF08239	8	Bacterial SH3 domain
PF08214	8	Histone acetylation protein
PF08020	8	Protein of unknown function (DUF1706)   
PF08005	8	PHR domain 
PF07821	8	Alpha-amylase C-terminal beta-sheet domain
PF07562	8	Nine Cysteines Domain of family 3 GPCR
PF07497	8	Rho termination factor, RNA-binding domain
PF07494	8	Two component regulator propeller
PF07476	8	Methylaspartate ammonia-lyase C-terminus
PF07475	8	HPr Serine kinase C-terminal domain
PF07422	8	Sexual stage antigen s48/45 domain
PF07081	8	Protein of unknown function (DUF1349)
PF06953	8	Arsenical resistance operon trans-acting repressor ArsD
PF06470	8	SMC proteins Flexible Hinge Domain
PF06418	8	CTP synthase N-terminus
PF06393	8	BH3 interacting domain (BID)
PF06337	8	DUSP domain
PF06153	8	Cyclic-di-AMP receptor
PF06133	8	Control of competence regulator ComK, YlbF/YmcA
PF05946	8	Toxin-coregulated pilus subunit TcpA
PF05865	8	Cypovirus polyhedrin protein
PF05770	8	Inositol 1, 3, 4-trisphosphate 5/6-kinase
PF05587	8	Anthrax receptor extracellular domain
PF05431	8	Insecticidal Crystal Toxin, P42 
PF05336	8	L-rhamnose mutarotase
PF05164	8	Cell division protein ZapA
PF05034	8	Methylaspartate ammonia-lyase N-terminus
PF04756	8	OST3 / OST6 family, transporter family
PF04507	8	Csa1 family
PF04390	8	Lipopolysaccharide-assembly
PF04273	8	Putative phosphatase (DUF442)
PF04268	8	Sarcosine oxidase, gamma subunit family 
PF04267	8	Sarcosine oxidase, delta subunit family 
PF04104	8	Eukaryotic and archaeal DNA primase, large subunit
PF03973	8	Triabin
PF03948	8	Ribosomal protein L9, C-terminal domain
PF03919	8	mRNA capping enzyme, C-terminal domain
PF03738	8	Glutathionylspermidine synthase preATP-grasp
PF03662	8	Glycosyl hydrolase family 79, N-terminal domain 
PF03599	8	CO dehydrogenase/acetyl-CoA synthase delta subunit
PF03571	8	Peptidase family M49
PF03519	8	Invasion protein B family
PF03415	8	Clostripain family
PF03401	8	Tripartite tricarboxylate transporter family receptor
PF03366	8	YEATS family
PF03065	8	Glycosyl hydrolase family 57
PF02889	8	Sec63 Brl domain
PF02825	8	WWE domain
PF02655	8	ATP-grasp domain
PF02626	8	Carboxyltransferase domain, subdomain A and B 
PF02625	8	XdhC and CoxI family
PF02603	8	HPr Serine kinase N terminus
PF02556	8	Preprotein translocase subunit SecB
PF02482	8	Sigma 54 modulation protein / S30EA ribosomal protein
PF02469	8	Fasciclin domain
PF02435	8	Levansucrase/Invertase
PF02358	8	Trehalose-phosphatase
PF01902	8	Diphthamide synthase
PF01896	8	DNA primase small subunit
PF01823	8	MAC/Perforin domain
PF01783	8	Ribosomal L32p protein family
PF01768	8	Birnavirus VP4 protein
PF01713	8	Smr domain
PF01632	8	Ribosomal protein L35
PF01561	8	Hantavirus glycoprotein G2
PF01434	8	Peptidase family M41
PF01429	8	Methyl-CpG binding domain
PF01414	8	Delta serrate ligand
PF01346	8	Domain amino terminal to FKBP-type peptidyl-prolyl isomerase
PF01333	8	Apocytochrome F, C-terminal
PF01331	8	mRNA capping enzyme, catalytic domain
PF01303	8	Egg lysin (Sperm-lysin)
PF01245	8	Ribosomal protein L19
PF01111	8	Cyclin-dependent kinase regulatory subunit
PF00861	8	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
PF00846	8	Hantavirus nucleocapsid protein
PF00830	8	Ribosomal L28 family
PF00829	8	Ribosomal prokaryotic L21 protein
PF00697	8	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF00606	8	Herpesvirus Glycoprotein B ectodomain
PF00602	8	Influenza RNA-dependent RNA polymerase subunit PB1
PF00471	8	Ribosomal protein L33
PF00468	8	Ribosomal protein L34
PF00453	8	Ribosomal protein L20
PF00444	8	Ribosomal protein L36
PF00387	8	Phosphatidylinositol-specific phospholipase C, Y domain
PF00356	8	Bacterial regulatory proteins, lacI family
PF00339	8	Arrestin (or S-antigen), N-terminal domain
PF00335	8	Tetraspanin family
PF00277	8	Serum amyloid A protein
PF00166	8	Chaperonin 10 Kd subunit
PF00095	8	WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF17296	7	Arenavirus cap snatching domain
PF17126	7	RsmF rRNA methyltransferase first C-terminal domain
PF16524	7	Periplasmic domain of Sensor histidine kinase RisS
PF16482	7	Staufen C-terminal domain
PF16448	7	LapD/MoxY periplasmic domain
PF15410	7	Pleckstrin homology domain
PF14524	7	Wzt C-terminal domain
PF14478	7	Domain of unknown function (DUF4430)
PF14447	7	Prokaryotic RING finger family 4
PF14031	7	Putative serine dehydratase domain
PF13981	7	SopA-like central domain
PF13979	7	SopA-like catalytic domain
PF13954	7	PapC N-terminal domain
PF13953	7	PapC C-terminal domain
PF13772	7	AIG2-like family
PF13678	7	NFkB-p65-degrading zinc protease
PF13620	7	Carboxypeptidase regulatory-like domain
PF13445	7	RING-type zinc-finger
PF13401	7	AAA domain
PF13184	7	NusA-like KH domain
PF12895	7	Anaphase-promoting complex, cyclosome, subunit 3
PF12771	7	Starch-binding associating with outer membrane
PF12715	7	Abhydrolase family
PF12468	7	Type III secretion system leucine rich repeat protein  
PF12161	7	HsdM N-terminal domain
PF12009	7	Telomerase ribonucleoprotein complex - RNA binding domain
PF11566	7	PI31 proteasome regulator N-terminal
PF10727	7	Rossmann-like domain
PF10674	7	Protein of unknown function (DUF2488)
PF10488	7	Phosphatase-1 catalytic subunit binding region
PF10437	7	Bacterial lipoate protein ligase C-terminus
PF10418	7	Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B
PF10369	7	Small subunit of acetolactate synthase
PF10185	7	Chaperone for wingless signalling and trafficking of LDL receptor
PF10091	7	Putative glucoamylase
PF09588	7	YqaJ-like viral recombinase domain
PF09347	7	Domain of unknown function (DUF1989)
PF09248	7	Domain of unknown function (DUF1965)
PF09202	7	Rio2, N-terminal
PF09150	7	Orange carotenoid protein, N-terminal 
PF09128	7	Regulator of G protein signalling-like domain
PF09079	7	CDC6, C terminal winged helix domain
PF09066	7	Beta2-adaptin appendage, C-terminal sub-domain
PF08951	7	Enterocin A Immunity
PF08924	7	Domain of unknown function (DUF1906)
PF08869	7	XisI protein
PF08842	7	Fimbrillin-A associated anchor proteins Mfa1 and Mfa2
PF08769	7	Sporulation initiation factor Spo0A C terminal
PF08709	7	Inositol 1,4,5-trisphosphate/ryanodine receptor
PF08286	7	Spc24 subunit of Ndc80
PF08246	7	Cathepsin propeptide inhibitor domain (I29)
PF07998	7	Peptidase family M54
PF07963	7	Prokaryotic N-terminal methylation motif
PF07717	7	Oligonucleotide/oligosaccharide-binding (OB)-fold
PF07703	7	Alpha-2-macroglobulin family N-terminal region
PF07498	7	Rho termination factor, N-terminal domain
PF07245	7	Phlebovirus glycoprotein G2
PF07224	7	Chlorophyllase
PF06602	7	Myotubularin-like phosphatase domain
PF06429	7	Flagellar basal body rod FlgEFG protein C-terminal
PF06298	7	Photosystem II protein Y (PsbY)
PF06035	7	Bacterial transglutaminase-like cysteine proteinase BTLCP
PF06028	7	Alpha/beta hydrolase of unknown function (DUF915)
PF05731	7	TROVE domain
PF05714	7	Borrelia burgdorferi virulent strain associated lipoprotein
PF05459	7	Herpesvirus transcriptional regulator family
PF05261	7	TraM protein, DNA-binding
PF05130	7	FlgN protein
PF05118	7	Aspartyl/Asparaginyl beta-hydroxylase
PF04970	7	Lecithin retinol acyltransferase
PF04916	7	Phospholipase B
PF04627	7	Mitochondrial ATP synthase epsilon chain
PF04568	7	Mitochondrial ATPase inhibitor, IATP
PF04408	7	Helicase associated domain (HA2)
PF04355	7	SmpA / OmlA family
PF04352	7	ProQ/FINO family
PF04111	7	Autophagy protein Apg6
PF04079	7	Segregation and condensation complex subunit ScpB
PF04014	7	Antidote-toxin recognition MazE, bacterial antitoxin
PF03997	7	VPS28 protein
PF03971	7	Monomeric isocitrate dehydrogenase
PF03900	7	Porphobilinogen deaminase, C-terminal domain
PF03851	7	UV-endonuclease UvdE
PF03785	7	Peptidase family C25, C terminal ig-like domain
PF03583	7	Secretory lipase 
PF03545	7	Yersinia virulence determinant (YopE)
PF03484	7	tRNA synthetase B5 domain
PF03483	7	B3/4 domain
PF03464	7	eRF1 domain 2
PF03463	7	eRF1 domain 1
PF03449	7	Transcription elongation factor, N-terminal
PF03343	7	SART-1 family
PF03141	7	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF03014	7	Structural protein 2
PF02976	7	DNA mismatch repair enzyme MutH
PF02828	7	L27 domain
PF02781	7	Glucose-6-phosphate dehydrogenase, C-terminal domain
PF02672	7	CP12 domain
PF02559	7	CarD-like/TRCF domain
PF02499	7	Probable DNA packing protein, C-terminus
PF02477	7	Nucleocapsid N protein
PF02432	7	Fimbrial, major and minor subunit
PF02205	7	WH2 motif
PF02073	7	Thermophilic metalloprotease (M29)
PF02017	7	CIDE-N domain
PF01982	7	Domain of unknown function DUF120
PF01950	7	Fructose-1,6-bisphosphatase
PF01871	7	AMMECR1
PF01865	7	Protein of unknown function DUF47
PF01826	7	Trypsin Inhibitor like cysteine rich domain
PF01759	7	UNC-6/NTR/C345C module
PF01537	7	Herpesvirus glycoprotein D/GG/GX domain
PF01493	7	GXGXG motif
PF01455	7	HupF/HypC family
PF01454	7	MAGE family
PF01432	7	Peptidase family M3
PF01418	7	Helix-turn-helix domain, rpiR family
PF01379	7	Porphobilinogen deaminase, dipyromethane cofactor binding domain
PF01364	7	Peptidase family C25
PF01359	7	Transposase (partial DDE domain)
PF01357	7	Pollen allergen
PF01338	7	Bacillus thuringiensis toxin
PF01238	7	Phosphomannose isomerase type I
PF01171	7	PP-loop family
PF01075	7	Glycosyltransferase family 9 (heptosyltransferase)
PF00992	7	Troponin
PF00907	7	T-box
PF00835	7	SNAP-25 family
PF00789	7	UBX domain
PF00779	7	BTK motif
PF00769	7	Ezrin/radixin/moesin family
PF00641	7	Zn-finger in Ran binding protein and others
PF00479	7	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00219	7	Insulin-like growth factor binding protein
PF00207	7	Alpha-2-macroglobulin family
PF17092	6	Penicillin-binding protein OB-like domain
PF16953	6	Protein-only RNase P
PF16898	6	C-terminal associated domain of TOPRIM
PF16718	6	Immunity factor for SPN
PF16571	6	FBP C-terminal treble-clef zinc-finger
PF16544	6	Homodimerisation region of STAR domain protein
PF16415	6	CCR4-NOT transcription complex subunit 1 CAF1-binding domain
PF16332	6	Domain of unknown function (DUF4962)
PF16113	6	Enoyl-CoA hydratase/isomerase
PF15285	6	Beclin-1 BH3 domain, Bcl-2-interacting
PF14836	6	Ubiquitin-like domain
PF14801	6	tRNA methyltransferase complex GCD14 subunit N-term
PF14760	6	Rnk N-terminus
PF14714	6	KH-domain-like of EngA bacterial GTPase enzymes, C-terminal
PF14698	6	Argininosuccinate lyase C-terminal
PF14578	6	Elongation factor Tu domain 4
PF14560	6	Ubiquitin-like domain
PF14064	6	HmuY protein
PF13883	6	Pyridoxamine 5'-phosphate oxidase
PF13860	6	FlgD Ig-like domain
PF13710	6	ACT domain
PF13519	6	von Willebrand factor type A domain
PF13363	6	Beta-galactosidase, domain 3
PF13361	6	UvrD-like helicase C-terminal domain
PF13328	6	HD domain
PF13243	6	Squalene-hopene cyclase C-terminal domain
PF13230	6	Glutamine amidotransferases class-II
PF13201	6	Putative carbohydrate metabolism domain
PF12972	6	Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain
PF12971	6	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
PF12790	6	Type VI secretion lipoprotein, VasD, EvfM, TssJ, VC_A0113
PF12693	6	GspL periplasmic domain
PF12689	6	Acid Phosphatase
PF12226	6	Turkey astrovirus capsid protein
PF12179	6	I-kappa-kinase-beta NEMO binding domain
PF11967	6	Recombination protein O N terminal
PF11964	6	SpoIIAA-like
PF11577	6	NF-kappa-B essential modulator NEMO
PF11548	6	Protein-tyrosine phosphatase receptor IA-2
PF11533	6	Protein of unknown function (DUF3225)
PF11099	6	Apoptosis regulator M11L like
PF10609	6	NUBPL iron-transfer P-loop NTPase
PF10503	6	Esterase PHB depolymerase
PF10467	6	Peptidase inhibitor clitocypin
PF10435	6	Beta-galactosidase, domain 2
PF10394	6	Histone acetyl transferase HAT1 N-terminus
PF10140	6	WXG100 protein secretion system (Wss), protein YukC
PF09850	6	Type VI secretion system protein DotU
PF09730	6	Microtubule-associated protein Bicaudal-D
PF09643	6	YopX protein
PF09382	6	RQC domain
PF09376	6	NurA domain
PF09359	6	VTC domain
PF09351	6	Domain of unknown function (DUF1993)
PF09137	6	Glucodextranase, domain N
PF09118	6	Domain of unknown function (DUF1929)
PF09116	6	gp45 sliding clamp, C terminal
PF09060	6	L27_N
PF09048	6	Cro
PF09045	6	L27_2
PF09020	6	YopE, N terminal
PF08960	6	Domain of unknown function (DUF1874)
PF08941	6	USP8 interacting
PF08918	6	PhoQ Sensor
PF08768	6	Domain of unknown function (DUF1794)
PF08513	6	LisH
PF08502	6	LeuA allosteric (dimerisation) domain
PF08477	6	Ras of Complex, Roc, domain of DAPkinase
PF08363	6	Glucan-binding protein C
PF08347	6	N-terminal CTNNB1 binding
PF08075	6	NOPS (NUC059) domain
PF08021	6	Siderophore-interacting FAD-binding domain
PF07730	6	Histidine kinase
PF07689	6	KaiB domain
PF07688	6	KaiA C-terminal domain
PF07657	6	N terminus of Notch ligand
PF07559	6	Flagellar basal body protein FlaE
PF07537	6	CamS sex pheromone cAM373 precursor
PF07451	6	Stage V sporulation protein AD (SpoVAD)
PF07338	6	Protein of unknown function (DUF1471)
PF07313	6	Protein of unknown function (DUF1460)
PF07299	6	Elongation factor G-binding protein, N-terminal
PF07262	6	CDI immunity protein
PF07145	6	Ataxin-2 C-terminal region
PF07085	6	DRTGG domain
PF06535	6	Repulsive guidance molecule (RGM) N-terminus
PF06506	6	Propionate catabolism activator
PF06389	6	Filovirus membrane-associated protein VP24
PF06367	6	Diaphanous FH3 Domain
PF05962	6	HutD
PF05960	6	Bacterial protein of unknown function (DUF885)
PF05737	6	Collagen binding domain
PF05708	6	Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family
PF05697	6	Bacterial trigger factor protein (TF)
PF05497	6	Destabilase
PF05400	6	Flagellar protein FliT
PF05373	6	L-proline 3-hydroxylase, C-terminal
PF05089	6	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain
PF04880	6	NUDE protein, C-terminal conserved region
PF04705	6	Thiostrepton-resistance methylase, N terminus
PF04679	6	ATP dependent DNA ligase C terminal region        
PF04675	6	DNA ligase N terminus
PF04582	6	Reovirus sigma C capsid protein
PF04266	6	ASCH domain
PF04231	6	Endonuclease I
PF04115	6	Ureidoglycolate lyase
PF04110	6	Ubiquitin-like autophagy protein Apg12 
PF04074	6	Domain of unknown function (DUF386)
PF04053	6	Coatomer WD associated region 
PF04034	6	Ribosome biogenesis protein, C-terminal
PF03965	6	Penicillinase repressor
PF03861	6	ANTAR domain
PF03678	6	Hexon, adenovirus major coat protein, C-terminal domain
PF03636	6	Glycosyl hydrolase family 65, N-terminal domain 
PF03633	6	Glycosyl hydrolase family 65, C-terminal domain 
PF03632	6	Glycosyl hydrolase family 65 central catalytic domain
PF03575	6	Peptidase family S51
PF03498	6	Cytolethal distending toxin A/C domain
PF03147	6	Ferredoxin-fold anticodon binding domain
PF03012	6	Phosphoprotein
PF02954	6	Bacterial regulatory protein, Fis family
PF02943	6	Ferredoxin thioredoxin reductase catalytic beta chain
PF02870	6	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain
PF02822	6	Antistasin family
PF02815	6	MIR domain
PF02631	6	RecX family
PF02623	6	FliW protein
PF02565	6	Recombination protein O C terminal
PF02516	6	Oligosaccharyl transferase STT3 subunit
PF02376	6	CUT domain
PF02192	6	PI3-kinase family, p85-binding domain
PF02135	6	TAZ zinc finger
PF02091	6	Glycyl-tRNA synthetase alpha subunit
PF01825	6	GPCR proteolysis site, GPS, motif 
PF01607	6	Chitin binding Peritrophin-A domain
PF01443	6	Viral (Superfamily 1) RNA helicase
PF01406	6	tRNA synthetases class I (C) catalytic domain
PF01375	6	Heat-labile enterotoxin alpha chain
PF01365	6	RIH domain
PF01279	6	Parathyroid hormone family
PF01176	6	Translation initiation factor 1A / IF-1
PF01129	6	NAD:arginine ADP-ribosyltransferase
PF01056	6	Myc amino-terminal region
PF00928	6	Adaptor complexes medium subunit family
PF00784	6	MyTH4 domain
PF00771	6	FHIPEP family
PF00736	6	EF-1 guanine nucleotide exchange domain
PF00726	6	Interleukin 10
PF00672	6	HAMP domain
PF00530	6	Scavenger receptor cysteine-rich domain
PF00522	6	VPR/VPX protein
PF00424	6	REV protein (anti-repression trans-activator protein)
PF00086	6	Thyroglobulin type-1 repeat
PF17417	5	Herpesvirus Glycoprotein B PH-like domain
PF17416	5	Herpesvirus Glycoprotein B
PF17390	5	Bacterial alpha-L-rhamnosidase C-terminal domain
PF17389	5	Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain
PF17292	5	POB3-like N-terminal PH domain
PF17288	5	Terminase RNAseH like domain
PF17131	5	Outer membrane lipoprotein-sorting protein
PF16984	5	Group 7 allergen
PF16960	5	Haemoglobin-haptoglobin utilisation, porphyrin transporter
PF16866	5	PHD-finger
PF16763	5	Major ampullate spidroin 1, spider silk protein 1, N-term
PF16746	5	BAR domain of APPL family
PF16732	5	Type IV minor pilin ComP, DNA uptake sequence receptor
PF16471	5	JNK-interacting protein  leucine zipper II
PF16457	5	Pleckstrin homology domain
PF16416	5	ARM-like repeat domain, GUN4-N terminal
PF16355	5	Domain of unknown function (DUF4982)
PF15979	5	Glycosyl hydrolase family 115
PF14853	5	Fis1 C-terminal tetratricopeptide repeat
PF14852	5	Fis1 N-terminal tetratricopeptide repeat
PF14824	5	Sirohaem biosynthesis protein central
PF14700	5	DNA-directed RNA polymerase N-terminal
PF14579	5	Helix-hairpin-helix motif
PF14561	5	Tetratricopeptide repeat
PF14370	5	C-terminal topoisomerase domain
PF14324	5	PINIT domain
PF14278	5	Transcriptional regulator C-terminal region
PF14011	5	EspG family
